,0,1
0,1170,"[[1155, 4.523188311911529], [1567, 3.9242343145200196], [1677, 3.9242343145200196], [835, 4.973228596302861], [1129, 3.9242343145200196], [186, 4.996355795222398], [1213, 4.928055160151634], [1189, 3.9242343145200196], [1397, 3.9242343145200196], [992, 4.523188311911529], [1889, 3.9242343145200196], [1279, 3.9242343145200196], [1096, 3.9242343145200196], [1869, 4.523188311911529], [689, 4.523188311911529], [479, 3.9242343145200196], [819, 3.9242343145200196], [261, 3.9242343145200196], [1014, 3.9242343145200196], [246, 4.928055160151634], [1692, 3.9242343145200196], [845, 3.9242343145200196], [757, 4.523188311911529], [1844, 3.9242343145200196], [1928, 3.9242343145200196], [227, 3.9242343145200196], [1092, 4.523188311911529], [460, 3.9242343145200196], [1674, 4.810296507289733], [69, 3.9242343145200196], [1719, 3.9242343145200196], [1046, 3.9242343145200196], [1714, 3.9242343145200196], [33, 3.9242343145200196], [446, 3.9242343145200196], [731, 3.9242343145200196], [941, 3.9242343145200196], [1362, 3.9242343145200196], [596, 3.9242343145200196], [211, 3.9242343145200196], [268, 4.523188311911529], [1744, 3.9242343145200196], [1977, 3.9242343145200196], [777, 3.9242343145200196], [1867, 3.9242343145200196], [581, 3.9242343145200196], [643, 3.9242343145200196], [1952, 3.9242343145200196], [556, 3.9242343145200196], [565, 3.9242343145200196], [1979, 3.9242343145200196]]"
1,2089,"[[605, 3.9242343145200196]]"
2,3035,"[[1023, 3.9242343145200196], [362, 3.9242343145200196], [891, 4.523188311911529], [1096, 3.9242343145200196], [255, 3.9242343145200196], [1873, 4.523188311911529], [1210, 4.523188311911529]]"
3,2507,"[[293, 3.9242343145200196], [581, 4.523188311911529], [1155, 4.523188311911529], [186, 3.9242343145200196], [545, 3.9242343145200196], [421, 3.9242343145200196], [1044, 3.9242343145200196], [1874, 3.9242343145200196], [931, 3.9242343145200196], [969, 3.9242343145200196], [1928, 3.9242343145200196], [244, 3.9242343145200196], [2034, 4.523188311911529], [596, 3.9242343145200196], [604, 3.9242343145200196], [640, 3.9242343145200196], [622, 3.9242343145200196], [1956, 3.9242343145200196], [460, 3.9242343145200196], [1674, 3.9242343145200196], [496, 3.9242343145200196]]"
4,1439,"[[1189, 3.9242343145200196], [186, 4.523188311911529], [1209, 3.9242343145200196], [596, 3.9242343145200196], [965, 3.9242343145200196], [1928, 3.9242343145200196], [835, 3.9242343145200196]]"
5,3366,"[[1479, 3.9242343145200196], [1913, 3.9242343145200196], [140, 3.9242343145200196], [125, 3.9242343145200196]]"
6,1175,"[[1869, 3.9242343145200196], [1860, 3.9242343145200196], [1631, 3.9242343145200196], [2028, 3.9242343145200196], [1423, 3.9242343145200196], [1560, 3.9242343145200196], [1172, 3.9242343145200196], [1210, 3.9242343145200196], [246, 3.9242343145200196]]"
7,1817,"[[810, 3.9242343145200196], [1397, 3.9242343145200196], [1023, 3.9242343145200196], [428, 4.523188311911529], [445, 3.9242343145200196], [959, 3.9242343145200196], [1399, 3.9242343145200196], [694, 4.523188311911529], [143, 3.9242343145200196], [596, 3.9242343145200196], [736, 3.9242343145200196], [321, 3.9242343145200196], [1956, 3.9242343145200196]]"
8,3966,"[[1093, 3.9242343145200196], [705, 4.523188311911529], [61, 3.9242343145200196], [941, 4.810296507289733], [592, 3.9242343145200196], [1479, 3.9242343145200196], [1956, 3.9242343145200196], [1918, 3.9242343145200196], [1178, 3.9242343145200196], [1023, 3.9242343145200196], [600, 3.9242343145200196], [249, 3.9242343145200196]]"
9,2257,"[[62, 3.9242343145200196], [186, 3.9242343145200196], [674, 3.9242343145200196], [1479, 3.9242343145200196], [1023, 3.9242343145200196]]"
10,5016,"[[1213, 3.9242343145200196], [1096, 3.9242343145200196], [186, 3.9242343145200196], [385, 3.9242343145200196], [1078, 3.9242343145200196], [163, 3.9242343145200196], [1567, 4.523188311911529], [689, 3.9242343145200196], [274, 3.9242343145200196], [255, 3.9242343145200196]]"
11,1975,"[[941, 3.9242343145200196], [2073, 3.9242343145200196], [100, 4.523188311911529], [186, 3.9242343145200196], [246, 3.9242343145200196], [268, 3.9242343145200196], [810, 3.9242343145200196], [746, 3.9242343145200196], [565, 3.9242343145200196], [1574, 3.9242343145200196], [592, 3.9242343145200196], [428, 4.523188311911529], [170, 3.9242343145200196], [1093, 3.9242343145200196], [1023, 4.523188311911529], [1809, 3.9242343145200196], [479, 3.9242343145200196], [1073, 3.9242343145200196], [845, 3.9242343145200196]]"
12,979,"[[592, 3.9242343145200196], [2071, 3.9242343145200196], [2098, 3.9242343145200196], [1091, 3.9242343145200196], [1162, 3.9242343145200196], [705, 4.810296507289733], [1248, 3.9242343145200196], [596, 3.9242343145200196], [743, 3.9242343145200196], [643, 4.523188311911529], [1530, 3.9242343145200196], [445, 3.9242343145200196], [1273, 3.9242343145200196]]"
13,437,"[[1514, 3.9242343145200196], [269, 3.9242343145200196], [1134, 3.9242343145200196], [1213, 3.9242343145200196], [1928, 3.9242343145200196]]"
14,2845,"[[152, 3.9242343145200196], [1093, 4.523188311911529], [1096, 4.973228596302861], [1866, 3.9242343145200196], [757, 3.9242343145200196], [186, 4.523188311911529], [2046, 3.9242343145200196], [230, 4.523188311911529], [1928, 3.9242343145200196], [1213, 4.523188311911529], [345, 3.9242343145200196], [1155, 3.9242343145200196], [1567, 4.990109507373461], [385, 4.523188311911529], [1023, 3.9242343145200196], [1078, 3.9242343145200196], [1411, 3.9242343145200196], [380, 3.9242343145200196], [341, 3.9242343145200196], [294, 3.9242343145200196], [1484, 3.9242343145200196], [941, 3.9242343145200196]]"
15,4190,"[[1423, 3.9242343145200196], [890, 3.9242343145200196], [1613, 3.9242343145200196], [61, 4.523188311911529], [783, 3.9242343145200196], [643, 4.523188311911529], [1273, 4.523188311911529], [1963, 3.9242343145200196], [792, 3.9242343145200196], [2048, 3.9242343145200196], [182, 3.9242343145200196], [1971, 3.9242343145200196], [101, 3.9242343145200196]]"
16,4757,"[[1479, 4.523188311911529], [1397, 3.9242343145200196], [1423, 4.523188311911529], [1514, 4.523188311911529], [564, 3.9242343145200196], [186, 4.810296507289733], [521, 4.523188311911529], [157, 3.9242343145200196], [146, 3.9242343145200196], [1869, 4.810296507289733], [689, 4.523188311911529], [1715, 3.9242343145200196], [1213, 4.928055160151634], [835, 3.9242343145200196], [256, 4.523188311911529], [592, 3.9242343145200196], [1155, 4.810296507289733], [1487, 3.9242343145200196], [941, 4.810296507289733], [551, 3.9242343145200196], [1956, 4.523188311911529], [77, 3.9242343145200196], [1874, 4.523188311911529], [268, 4.523188311911529], [388, 4.523188311911529], [817, 3.9242343145200196], [1674, 4.523188311911529], [597, 3.9242343145200196], [1455, 3.9242343145200196], [596, 3.9242343145200196], [152, 4.523188311911529], [965, 3.9242343145200196], [202, 3.9242343145200196], [1850, 3.9242343145200196], [1503, 3.9242343145200196], [1614, 3.9242343145200196], [1714, 4.523188311911529], [1567, 3.9242343145200196], [556, 3.9242343145200196], [1210, 3.9242343145200196], [246, 3.9242343145200196]]"
17,4250,"[[835, 3.9242343145200196], [1874, 3.9242343145200196], [1213, 3.9242343145200196], [361, 3.9242343145200196], [83, 3.9242343145200196], [186, 3.9242343145200196], [223, 3.9242343145200196], [1674, 3.9242343145200196], [941, 3.9242343145200196], [694, 3.9242343145200196], [992, 3.9242343145200196], [1441, 3.9242343145200196]]"
18,5210,"[[1213, 3.9242343145200196]]"
19,4533,"[[592, 4.523188311911529], [230, 3.9242343145200196], [777, 3.9242343145200196], [249, 3.9242343145200196], [186, 3.9242343145200196]]"
20,4296,"[[1567, 3.9242343145200196], [1946, 3.9242343145200196], [1956, 3.9242343145200196], [1078, 3.9242343145200196], [1479, 3.9242343145200196], [2036, 3.9242343145200196], [596, 3.9242343145200196], [385, 4.810296507289733], [891, 4.523188311911529], [736, 3.9242343145200196], [1126, 3.9242343145200196], [446, 3.9242343145200196], [1096, 3.9242343145200196]]"
21,1676,"[[558, 3.9242343145200196], [268, 4.523188311911529], [1744, 3.9242343145200196], [731, 3.9242343145200196], [1911, 3.9242343145200196], [1487, 4.523188311911529], [324, 3.9242343145200196], [1514, 3.9242343145200196], [376, 3.9242343145200196], [1205, 3.9242343145200196], [186, 3.9242343145200196], [246, 3.9242343145200196]]"
22,1293,"[[307, 3.9242343145200196], [2087, 4.523188311911529], [711, 3.9242343145200196], [1409, 3.9242343145200196], [1978, 3.9242343145200196], [460, 4.523188311911529], [795, 3.9242343145200196], [26, 3.9242343145200196], [1630, 3.9242343145200196], [1996, 3.9242343145200196], [320, 3.9242343145200196], [1044, 3.9242343145200196], [1946, 3.9242343145200196], [88, 3.9242343145200196], [1310, 3.9242343145200196], [938, 3.9242343145200196], [452, 3.9242343145200196], [268, 3.9242343145200196]]"
23,5233,"[[1956, 4.523188311911529], [268, 3.9242343145200196], [2062, 3.9242343145200196], [1093, 3.9242343145200196], [694, 4.810296507289733], [324, 4.810296507289733], [1213, 3.9242343145200196], [1869, 4.523188311911529], [2036, 3.9242343145200196], [1104, 3.9242343145200196], [1650, 3.9242343145200196], [596, 3.9242343145200196], [1719, 3.9242343145200196], [1543, 3.9242343145200196], [1172, 3.9242343145200196], [871, 3.9242343145200196], [607, 3.9242343145200196], [564, 3.9242343145200196], [731, 3.9242343145200196]]"
24,796,"[[643, 3.9242343145200196], [294, 3.9242343145200196], [1273, 3.9242343145200196], [655, 3.9242343145200196], [689, 3.9242343145200196]]"
25,3604,"[[1243, 4.523188311911529], [581, 3.9242343145200196], [436, 3.9242343145200196], [602, 3.9242343145200196], [246, 3.9242343145200196], [1979, 3.9242343145200196], [1213, 4.810296507289733], [476, 3.9242343145200196], [31, 3.9242343145200196], [496, 3.9242343145200196], [1582, 3.9242343145200196], [643, 3.9242343145200196], [557, 3.9242343145200196], [376, 3.9242343145200196], [1796, 3.9242343145200196], [186, 4.523188311911529], [2003, 3.9242343145200196], [2089, 3.9242343145200196], [929, 3.9242343145200196], [268, 3.9242343145200196], [835, 3.9242343145200196]]"
26,4197,"[[861, 3.9242343145200196], [897, 3.9242343145200196], [1273, 3.9242343145200196], [1423, 3.9242343145200196], [1365, 3.9242343145200196], [1155, 3.9242343145200196], [2005, 3.9242343145200196]]"
27,2683,"[[1153, 3.9242343145200196], [186, 4.990109507373461], [768, 3.9242343145200196], [1479, 3.9242343145200196], [1096, 4.523188311911529], [1514, 3.9242343145200196], [1567, 4.810296507289733], [142, 4.523188311911529], [1397, 4.523188311911529], [2062, 3.9242343145200196], [293, 3.9242343145200196], [268, 3.9242343145200196], [581, 3.9242343145200196], [596, 3.9242343145200196], [1134, 3.9242343145200196], [1023, 4.928055160151634], [1213, 4.523188311911529], [1210, 3.9242343145200196]]"
28,2005,"[[1779, 3.9242343145200196], [1224, 3.9242343145200196], [1315, 3.9242343145200196], [1651, 3.9242343145200196], [1972, 3.9242343145200196], [1319, 4.523188311911529], [1213, 4.523188311911529], [293, 3.9242343145200196], [1869, 3.9242343145200196], [1700, 3.9242343145200196], [31, 3.9242343145200196], [845, 3.9242343145200196], [2089, 3.9242343145200196]]"
29,898,"[[186, 3.9242343145200196], [1479, 3.9242343145200196]]"
30,468,"[[301, 3.9242343145200196], [639, 3.9242343145200196], [1273, 3.9242343145200196]]"
31,5094,"[[565, 3.9242343145200196], [268, 3.9242343145200196], [88, 3.9242343145200196], [496, 3.9242343145200196]]"
32,1996,"[[711, 4.523188311911529]]"
33,4858,"[[1368, 3.9242343145200196], [246, 3.9242343145200196]]"
34,969,"[[485, 3.9242343145200196], [2002, 3.9242343145200196], [15, 3.9242343145200196], [736, 4.810296507289733], [428, 4.810296507289733], [592, 4.523188311911529], [526, 4.810296507289733], [1931, 4.523188311911529], [596, 4.523188311911529], [941, 4.523188311911529], [1093, 4.810296507289733], [810, 3.9242343145200196], [1016, 3.9242343145200196], [2045, 3.9242343145200196], [2061, 3.9242343145200196], [605, 3.9242343145200196], [655, 3.9242343145200196], [1632, 3.9242343145200196], [1479, 3.9242343145200196], [581, 3.9242343145200196]]"
35,2028,"[[1651, 3.9242343145200196], [731, 3.9242343145200196], [694, 3.9242343145200196], [1023, 3.9242343145200196], [1454, 3.9242343145200196], [1213, 3.9242343145200196], [1423, 3.9242343145200196]]"
36,1766,"[[1101, 3.9242343145200196], [2047, 3.9242343145200196], [1874, 3.9242343145200196], [1423, 3.9242343145200196], [969, 3.9242343145200196], [1873, 4.523188311911529], [1418, 3.9242343145200196], [980, 3.9242343145200196], [1315, 3.9242343145200196]]"
37,2490,"[[186, 3.9242343145200196], [1874, 3.9242343145200196]]"
38,4655,"[[1787, 3.9242343145200196], [1874, 3.9242343145200196], [1023, 3.9242343145200196], [137, 3.9242343145200196], [690, 3.9242343145200196], [1719, 3.9242343145200196], [689, 3.9242343145200196], [1692, 3.9242343145200196], [1530, 3.9242343145200196], [246, 3.9242343145200196], [2015, 3.9242343145200196], [1479, 3.9242343145200196]]"
39,1986,"[[1599, 3.9242343145200196], [214, 3.9242343145200196], [319, 3.9242343145200196], [230, 3.9242343145200196], [1956, 3.9242343145200196], [1567, 3.9242343145200196]]"
40,1523,"[[845, 3.9242343145200196], [641, 3.9242343145200196], [1213, 3.9242343145200196], [581, 4.928055160151634], [1059, 3.9242343145200196], [186, 4.523188311911529], [592, 3.9242343145200196], [783, 4.523188311911529], [352, 3.9242343145200196], [1155, 4.810296507289733], [1014, 3.9242343145200196], [1844, 4.523188311911529], [1979, 3.9242343145200196], [152, 3.9242343145200196], [142, 3.9242343145200196], [1479, 3.9242343145200196], [835, 3.9242343145200196]]"
41,1030,"[[1845, 3.9242343145200196], [586, 3.9242343145200196]]"
42,2757,"[[792, 3.9242343145200196], [1870, 3.9242343145200196], [2008, 3.9242343145200196], [1273, 4.810296507289733], [785, 3.9242343145200196], [61, 3.9242343145200196], [1546, 3.9242343145200196]]"
43,1756,"[[1096, 4.928055160151634], [485, 3.9242343145200196], [2036, 4.523188311911529], [176, 3.9242343145200196], [1213, 4.523188311911529], [186, 4.810296507289733], [1714, 3.9242343145200196], [1548, 4.523188311911529], [2043, 3.9242343145200196], [1567, 4.523188311911529], [1273, 3.9242343145200196], [596, 4.523188311911529], [1301, 3.9242343145200196], [191, 3.9242343145200196], [1479, 3.9242343145200196], [62, 3.9242343145200196], [385, 3.9242343145200196], [678, 3.9242343145200196], [1690, 3.9242343145200196]]"
44,1895,"[[2093, 3.9242343145200196], [1413, 3.9242343145200196], [1521, 3.9242343145200196], [592, 3.9242343145200196], [1423, 3.9242343145200196]]"
45,3106,"[[596, 3.9242343145200196], [1979, 3.9242343145200196], [496, 3.9242343145200196], [516, 3.9242343145200196], [1350, 3.9242343145200196], [1189, 3.9242343145200196], [268, 3.9242343145200196], [635, 4.810296507289733], [1155, 4.928055160151634], [479, 3.9242343145200196], [1850, 3.9242343145200196], [992, 4.523188311911529], [1928, 4.810296507289733], [1265, 3.9242343145200196], [1372, 3.9242343145200196], [790, 3.9242343145200196], [676, 3.9242343145200196], [1368, 3.9242343145200196], [1952, 3.9242343145200196], [969, 3.9242343145200196], [1213, 3.9242343145200196], [2024, 3.9242343145200196], [319, 3.9242343145200196], [445, 3.9242343145200196], [565, 4.523188311911529], [607, 3.9242343145200196], [767, 3.9242343145200196], [1255, 3.9242343145200196], [1321, 3.9242343145200196], [1243, 3.9242343145200196], [2089, 3.9242343145200196], [1635, 3.9242343145200196]]"
46,1428,"[[2079, 3.9242343145200196], [61, 3.9242343145200196], [1213, 4.810296507289733], [1869, 3.9242343145200196], [186, 3.9242343145200196], [1479, 3.9242343145200196], [1498, 3.9242343145200196], [1096, 4.973228596302861], [1567, 4.523188311911529], [246, 3.9242343145200196], [1210, 3.9242343145200196], [1301, 3.9242343145200196], [596, 3.9242343145200196], [491, 3.9242343145200196], [1714, 3.9242343145200196], [2003, 3.9242343145200196], [1093, 3.9242343145200196], [891, 4.523188311911529], [180, 3.9242343145200196]]"
47,4284,"[[1273, 3.9242343145200196], [1671, 4.523188311911529], [792, 3.9242343145200196], [1803, 3.9242343145200196], [212, 3.9242343145200196], [1014, 3.9242343145200196]]"
48,4847,"[[1719, 3.9242343145200196], [496, 3.9242343145200196], [1013, 4.523188311911529], [2043, 3.9242343145200196], [1869, 4.523188311911529], [186, 4.523188311911529], [342, 3.9242343145200196], [556, 3.9242343145200196], [268, 3.9242343145200196], [1928, 3.9242343145200196], [1946, 3.9242343145200196], [195, 3.9242343145200196], [62, 3.9242343145200196], [965, 3.9242343145200196], [689, 3.9242343145200196], [596, 3.9242343145200196], [1867, 3.9242343145200196], [640, 3.9242343145200196], [931, 3.9242343145200196], [564, 3.9242343145200196], [337, 3.9242343145200196], [448, 3.9242343145200196], [1415, 3.9242343145200196], [565, 4.523188311911529], [60, 3.9242343145200196], [223, 3.9242343145200196], [324, 3.9242343145200196], [446, 3.9242343145200196], [529, 3.9242343145200196], [142, 3.9242343145200196], [1155, 3.9242343145200196], [1423, 3.9242343145200196]]"
49,1764,"[[1092, 3.9242343145200196], [361, 3.9242343145200196], [491, 3.9242343145200196]]"
50,556,"[[643, 3.9242343145200196], [1946, 3.9242343145200196], [77, 3.9242343145200196], [1155, 3.9242343145200196], [460, 3.9242343145200196], [1744, 3.9242343145200196], [596, 3.9242343145200196]]"
