,0,1
0,19@1170,"1155,1567,1677"
1,136@2089,605
2,92@3035,1023
3,76@2507,"293,581,1155,186,545,421,1044,1874,931,969,1928,244"
4,50@1439,"1189,186,1209,596,965,1928"
5,29@3366,"1479,1913,140,125"
6,150@1175,"1869,1860,1631,2028,1423"
7,101@1817,"810,1397,1023,428,445,428,143,596"
8,67@3966,"1093,705,61"
9,12@2257,"62,186"
10,138@5016,1213
11,142@1975,"941,2073"
12,106@979,"592,2071,2098,1091"
13,4@437,"1514,269,1134,1213,1928"
14,85@2845,"152,1093,1096,1866"
15,147@4190,"1423,890,1613,61"
16,111@4757,"1479,1397"
17,121@4250,"835,1874,1213,361,83,186,223"
18,3@5210,1213
19,88@4533,"592,230,249,592,186"
20,145@4296,"1567,1946,1956"
21,85@1676,"558,268,1744,731"
22,102@1293,"307,2087"
23,87@5233,"1956,871"
24,142@796,643
25,18@3604,"1243,581,436,602,246,1979,1213,476,1243,31,496"
26,54@4197,"861,897"
27,104@2683,"1153,186,768,1479"
28,83@2005,1779
29,61@898,186
30,67@468,301
31,99@5094,565
32,146@1996,"711,711"
33,124@4858,"1368,246"
34,102@969,"485,2002"
35,99@2028,"1651,731"
36,96@1766,"1101,2047,1874,1423,969"
37,35@2490,"186,1874"
38,114@4655,"1787,1874"
39,146@1986,"1599,214,319,230,1956,1567"
40,102@1523,"845,641,1213"
41,42@1030,"1845,586"
42,93@2757,"792,1870,2008,1273"
43,31@1756,1096
44,96@1895,2093
45,122@3106,"596,1979,1189,268,635,1155,479,1850,992,1928,635,1155,565,607,767,992,1928,565"
46,147@1428,"2079,61,1213"
47,100@4284,1273
48,35@4847,"1719,496,1013"
49,92@1764,"1092,361,491"
50,51@556,"643,1946"
51,92@2070,"941,1623"
52,0@3390,"2016,43,1359,186,140,125,1913"
53,3@3958,"1363,596"
54,2@3260,137
55,50@1979,"1972,1941,526,605,705,1272"
56,39@3397,1213
57,58@2686,"163,137"
58,54@946,186
59,42@1571,"186,1273,62"
60,137@526,"186,605"
61,126@2703,"565,2084"
62,26@1822,"274,1900,539,1514"
63,90@4097,"268,1419,736,361,62,845,62"
64,99@551,"1096,1567,1210,1423,1946,1397"
65,18@4285,"1975,324,655,270,324,655,142,943"
66,1@349,"845,62,569,1869,61"
67,115@796,294
68,103@3252,761
69,79@184,28
70,71@4091,246
71,144@1285,"1674,835,738,1189,83,123,835,607,565,1582,1947"
72,99@5180,777
73,100@886,"2016,2016,130"
74,134@3892,468
75,92@5112,757
