,0,1
0,19@1170,4.0
1,136@2089,4.0
2,92@3035,3.0
3,76@2507,4.0
4,50@1439,2.0
5,29@3366,4.0
6,150@1175,5.0
7,101@1817,4.5
8,67@3966,4.0
9,12@2257,1.0
10,138@5016,5.0
11,142@1975,4.0
12,106@979,3.0
13,4@437,2.0
14,85@2845,5.0
15,147@4190,3.0
16,111@4757,5.0
17,121@4250,5.0
18,3@5210,2.0
19,88@4533,4.0
20,145@4296,1.0
21,85@1676,4.0
22,102@1293,4.0
23,87@5233,3.0
24,142@796,4.0
25,18@3604,4.0
26,54@4197,5.0
27,104@2683,5.0
28,83@2005,4.0
29,61@898,4.0
30,67@468,3.0
31,99@5094,3.0
32,146@1996,3.0
33,124@4858,2.0
34,102@969,5.0
35,99@2028,3.0
36,96@1766,5.0
37,35@2490,4.0
38,114@4655,4.0
39,146@1986,4.0
40,102@1523,5.0
41,42@1030,5.0
42,93@2757,4.0
43,31@1756,4.0
44,96@1895,4.0
45,122@3106,5.0
46,147@1428,4.0
47,100@4284,5.0
48,35@4847,3.0
49,92@1764,5.0
50,51@556,4.0
51,92@2070,5.0
52,0@3390,3.66666666667
53,3@3958,4.0
54,2@3260,5.0
55,50@1979,3.66666666667
56,39@3397,3.0
57,58@2686,5.0
58,54@946,4.0
59,42@1571,4.0
60,137@526,4.0
61,126@2703,3.0
62,26@1822,3.0
63,90@4097,2.0
64,99@551,3.0
65,18@4285,4.66666666667
66,1@349,5.0
67,115@796,5.0
68,103@3252,4.0
69,79@184,5.0
70,71@4091,3.0
71,144@1285,4.0
72,99@5180,3.0
73,100@886,5.0
74,134@3892,5.0
75,92@5112,3.0
76,42@896,5.0
77,53@2555,3.0
78,145@4077,5.0
79,102@530,4.0
80,103@2583,3.0
81,67@2453,3.0
82,130@2142,2.0
83,38@2771,4.0
84,123@3802,4.0
85,101@1688,5.0
86,44@2612,5.0
87,30@3866,4.0
88,8@2221,4.0
89,125@4193,4.0
90,111@1337,5.0
91,46@3261,3.0
92,126@474,4.0
93,38@5256,4.0
94,42@762,4.0
95,56@2531,4.5
96,72@2751,1.0
97,16@4665,2.0
98,56@4024,2.0
99,81@4787,5.0
100,37@1498,5.0
101,8@4050,4.0
102,94@765,4.0
103,108@810,3.0
104,103@1629,3.5
105,70@2511,5.0
106,106@2816,4.0
107,38@4080,4.0
108,9@456,4.0
109,100@700,4.0
110,144@5211,4.0
111,145@506,5.0
112,45@2184,5.0
113,11@2950,4.0
114,93@2367,4.0
115,88@4306,4.0
116,18@268,3.0
117,81@4686,5.0
118,42@235,5.0
119,83@3137,4.0
120,31@229,1.0
121,3@3466,3.0
122,144@5033,5.0
123,145@2029,5.0
124,115@1413,2.5
125,92@4249,4.0
126,14@805,4.0
127,101@3343,5.0
128,38@2070,5.0
129,15@5247,4.0
130,61@1824,2.5
131,54@653,3.0
132,102@5016,4.0
133,88@3194,5.0
134,92@2123,5.0
135,92@84,3.0
136,99@2230,5.0
137,42@330,4.0
138,120@313,4.0
139,138@2812,4.5
140,76@3244,1.0
141,101@5162,4.0
142,147@1648,4.0
143,16@4249,4.0
144,140@5159,4.0
145,4@3306,3.0
146,39@3855,5.0
147,0@2071,1.0
148,80@3327,2.0
149,67@1113,4.0
150,101@4130,4.0
151,66@1638,4.0
152,67@1500,2.0
153,93@4925,2.0
154,151@703,5.0
155,150@2275,3.0
156,79@735,3.0
157,121@2234,4.0
158,93@4931,1.0
159,145@2202,2.0
160,149@3844,5.0
161,134@4998,5.0
162,147@4872,4.0
163,88@941,4.0
164,139@185,4.0
165,39@3486,4.0
166,22@233,4.0
167,41@3410,4.5
168,50@3185,2.0
169,116@3744,4.0
170,65@658,5.0
171,113@4052,3.0
172,88@5116,3.0
173,105@1267,4.0
174,88@1435,4.0
175,99@879,3.0
176,71@4415,3.0
177,77@4854,4.0
178,30@27,3.0
179,136@374,4.0
180,126@1048,3.0
181,131@743,5.0
182,50@1042,4.0
183,39@101,4.0
184,92@1382,4.0
185,61@3312,4.0
186,108@3010,4.0
187,62@1671,3.0
188,38@945,4.0
189,19@4265,5.0
190,104@2343,4.0
191,40@1690,5.0
192,125@2486,4.0
193,94@2672,4.0
194,79@5240,5.0
195,28@2983,5.0
196,32@4347,4.0
197,152@3895,4.0
198,78@5099,5.0
199,112@4074,5.0
200,64@2523,3.0
201,129@638,4.0
202,151@1594,4.0
203,15@1590,4.0
204,110@3120,3.0
205,120@717,4.0
206,89@1453,4.0
207,34@2960,3.0
208,88@4378,3.0
209,54@3269,4.66666666667
210,145@2446,2.0
211,128@5069,4.0
212,8@4021,4.0
213,98@1748,3.0
214,17@2081,2.0
215,136@3831,4.0
216,89@3810,4.0
217,75@964,5.0
218,134@5160,5.0
219,56@4810,4.0
220,38@2176,5.0
221,118@1458,3.0
222,144@2838,5.0
223,43@3542,3.0
224,122@1964,4.0
225,66@4564,1.0
226,138@977,4.0
227,26@1762,4.0
228,4@608,3.0
229,51@4543,5.0
230,87@1133,3.0
231,82@2149,5.0
232,100@3357,4.0
233,10@171,4.0
234,134@4248,5.0
235,43@117,3.0
236,122@810,5.0
237,43@1749,5.0
238,40@2264,3.0
239,88@4284,4.0
240,96@4989,4.0
241,114@755,3.0
242,90@1892,4.0
243,29@2813,2.0
244,24@4984,5.0
245,62@1123,5.0
246,35@3779,3.0
247,45@3852,3.0
248,30@720,4.0
249,108@1790,4.0
250,147@2726,4.0
251,52@3851,1.0
252,118@505,3.0
253,19@1862,3.5
254,76@4556,5.0
255,53@4524,5.0
256,42@388,3.5
257,29@2398,4.0
258,92@5206,4.0
259,109@560,5.0
260,46@899,5.0
261,59@4865,5.0
262,136@722,2.0
263,15@4847,4.0
264,126@1616,5.0
265,149@2010,4.0
266,152@1323,4.0
267,10@817,3.0
268,31@2023,4.0
269,67@1264,3.0
270,79@797,5.0
271,109@3889,1.0
272,75@2227,5.0
273,62@969,5.0
274,137@3555,4.0
275,147@4548,4.0
276,3@1989,3.0
277,109@707,1.0
278,149@2488,4.0
279,8@4623,4.0
280,4@2732,3.0
281,52@4931,3.0
282,149@48,3.0
283,86@2220,5.0
284,92@3665,3.5
285,75@202,3.5
286,76@1909,3.0
287,146@3975,3.0
288,92@4711,3.0
289,139@3454,4.0
290,92@1318,2.5
291,96@2278,3.0
292,4@3946,3.0
293,58@3776,3.0
294,15@193,3.0
295,105@3461,2.0
296,145@2084,5.0
297,147@4436,3.0
298,7@4637,3.0
299,14@2454,4.0
300,50@71,4.0
301,64@1179,5.0
302,59@998,4.0
303,65@4180,2.0
304,135@3664,3.0
305,51@2997,4.0
306,66@4340,1.0
307,129@2875,3.5
308,88@3565,4.0
309,1@3630,4.0
310,75@2586,4.0
311,59@366,4.0
312,113@1906,4.0
313,22@264,3.0
314,93@4659,4.5
315,142@2011,4.0
316,4@4228,2.0
317,39@2818,4.0
318,7@869,3.0
319,138@316,4.0
320,152@4248,5.0
321,48@677,4.5
322,99@4077,4.0
323,67@3465,2.0
324,99@383,3.0
325,9@4445,5.0
326,146@1778,3.0
327,30@4174,3.0
328,60@223,4.0
329,32@3047,5.0
330,18@1878,4.0
331,105@3790,3.0
332,75@2353,4.0
333,88@1618,4.0
334,28@623,3.0
335,118@2781,2.0
336,10@3019,4.0
337,31@4643,4.0
338,8@1511,2.0
339,2@1784,3.0
340,99@939,3.0
341,83@4918,5.0
342,100@1653,3.0
343,15@421,3.0
344,115@2757,4.0
345,89@521,5.0
346,44@2688,4.0
347,106@2645,4.0
348,128@1081,5.0
349,40@2744,4.0
350,10@2214,3.0
351,20@4439,4.0
352,1@5127,3.0
353,144@3830,5.0
