,0,1,2
0,89@3786,"[[790, 1], [1209, 1], [1213, 1], [249, 1]]",3.0
1,89@3551,"[[1213, 1], [428, 1]]",2.0
2,89@3263,"[[757, 1], [694, 1], [836, 1]]",5.0
3,64@412,"[[694, 1], [1546, 1], [1514, 1]]",4.0
4,68@2507,"[[156, 1], [845, 1], [755, 1], [1044, 1], [596, 1]]",3.0
5,107@1293,"[[1978, 1], [1947, 1], [1706, 1]]",3.0
6,68@3800,"[[1931, 1]]",3.0
7,89@2132,"[[1101, 1], [1213, 1]]",4.0
8,129@2112,"[[2069, 1], [545, 1]]",4.0
9,89@2309,"[[186, 1]]",2.0
10,64@2269,"[[1503, 1], [1397, 1], [428, 1], [559, 1], [1210, 1], [445, 1], [731, 1], [1787, 1], [941, 1], [1080, 1], [736, 1], [186, 1], [1423, 1], [1928, 1], [268, 1], [143, 1], [186, 1], [428, 1], [1403, 1]]",4.0
11,106@178,"[[941, 1], [592, 1], [1977, 1], [316, 1], [1273, 1], [1928, 1], [2071, 1], [605, 1]]",4.0
12,106@1493,"[[502, 1], [777, 1], [186, 1], [428, 1], [731, 1], [61, 1]]",1.0
13,64@3318,"[[711, 1], [795, 1]]",4.0
14,129@2145,"[[1023, 1], [2036, 1]]",4.0
15,41@3547,"[[1870, 1]]",5.0
16,51@2150,"[[83, 1], [1956, 1], [645, 1]]",4.0
17,68@2764,"[[1650, 1], [845, 1], [3, 1], [1213, 1], [792, 1]]",3.0
18,106@1367,"[[1093, 1], [131, 1], [87, 1], [1441, 1], [100, 1], [1277, 1], [1567, 1], [1078, 1]]",4.0
19,106@4934,"[[1135, 1], [646, 1]]",4.0
20,106@1411,"[[2024, 1], [1503, 1], [1096, 1], [777, 1], [2036, 1], [1928, 1], [1058, 1], [976, 1], [1567, 1], [246, 1]]",2.0
21,51@5162,"[[1869, 1], [1397, 1], [1582, 1], [976, 1]]",4.0
22,37@1318,"[[596, 1]]",4.0
23,143@1543,"[[1273, 1], [136, 1], [1213, 1]]",3.0
24,51@1126,"[[186, 1], [761, 1], [1956, 1], [1265, 1], [1308, 1], [1867, 1]]",3.0
25,51@2521,"[[1363, 1], [336, 1]]",4.0
26,68@4329,"[[839, 1]]",4.0
27,78@2832,"[[24, 1], [268, 1], [1543, 1], [186, 1]]",5.0
28,106@1197,"[[592, 1], [643, 1], [476, 1], [596, 1]]",4.0
29,5@3423,"[[1027, 1]]",3.0
30,129@3927,"[[1869, 1]]",5.0
31,106@2029,"[[941, 1], [142, 1], [1104, 1]]",4.0
32,51@1338,"[[757, 1], [137, 1], [643, 1]]",3.0
33,22@4626,"[[761, 1]]",2.0
