,0,1,2
0,19@1170,"[[1155, 1], [1567, 1], [1677, 1]]",4.0
1,136@2089,"[[605, 1]]",4.0
2,92@3035,"[[1023, 1]]",3.0
3,76@2507,"[[293, 1], [581, 1], [1155, 1], [186, 1], [545, 1], [421, 1], [1044, 1], [1874, 1], [931, 1], [969, 1], [1928, 1], [244, 1]]",4.0
4,50@1439,"[[1189, 1], [186, 1], [1209, 1], [596, 1], [965, 1], [1928, 1]]",2.0
5,29@3366,"[[1479, 1], [1913, 1], [140, 1], [125, 1]]",4.0
6,150@1175,"[[1869, 1], [1860, 1], [1631, 1], [2028, 1], [1423, 1]]",5.0
7,101@1817,"[[810, 1], [1397, 1], [1023, 1], [428, 1], [445, 1], [428, 1], [143, 1], [596, 1]]",4.5
8,67@3966,"[[1093, 1], [705, 1], [61, 1]]",4.0
9,12@2257,"[[62, 1], [186, 1]]",1.0
10,138@5016,"[[1213, 1]]",5.0
11,142@1975,"[[941, 1], [2073, 1]]",4.0
12,106@979,"[[592, 1], [2071, 1], [2098, 1], [1091, 1]]",3.0
13,4@437,"[[1514, 1], [269, 1], [1134, 1], [1213, 1], [1928, 1]]",2.0
14,85@2845,"[[152, 1], [1093, 1], [1096, 1], [1866, 1]]",5.0
15,147@4190,"[[1423, 1], [890, 1], [1613, 1], [61, 1]]",3.0
16,111@4757,"[[1479, 1], [1397, 1]]",5.0
17,121@4250,"[[835, 1], [1874, 1], [1213, 1], [361, 1], [83, 1], [186, 1], [223, 1]]",5.0
18,3@5210,"[[1213, 1]]",2.0
19,88@4533,"[[592, 1], [230, 1], [249, 1], [592, 1], [186, 1]]",4.0
20,145@4296,"[[1567, 1], [1946, 1], [1956, 1]]",1.0
21,85@1676,"[[558, 1], [268, 1], [1744, 1], [731, 1]]",4.0
22,102@1293,"[[307, 1], [2087, 1]]",4.0
23,87@5233,"[[1956, 1], [871, 1]]",3.0
24,142@796,"[[643, 1]]",4.0
25,18@3604,"[[1243, 1], [581, 1], [436, 1], [602, 1], [246, 1], [1979, 1], [1213, 1], [476, 1], [1243, 1], [31, 1], [496, 1]]",4.0
26,54@4197,"[[861, 1], [897, 1]]",5.0
27,104@2683,"[[1153, 1], [186, 1], [768, 1], [1479, 1]]",5.0
28,83@2005,"[[1779, 1]]",4.0
29,61@898,"[[186, 1]]",4.0
30,67@468,"[[301, 1]]",3.0
31,99@5094,"[[565, 1]]",3.0
32,146@1996,"[[711, 1], [711, 1]]",3.0
33,124@4858,"[[1368, 1], [246, 1]]",2.0
34,102@969,"[[485, 1], [2002, 1]]",5.0
35,99@2028,"[[1651, 1], [731, 1]]",3.0
